Time,score
16,0.218882
17,0.201034
20,0.187213
22,0.187112
24,0.186059
26,0.182697
28,0.18191
30,0.180559
32,0.168231
34,0.16814
36,0.160252
37,0.154778
40,0.15185
42,0.148396
43,0.148249
46,0.146688
48,0.146688
49,0.137332
51,0.133509
54,0.131683
56,0.123778
58,0.123778
60,0.120972
62,0.120903
64,0.120303
66,0.120244
68,0.119759
69,0.117257
71,0.117257
73,0.114218
75,0.104096
77,0.104093
78,0.103827
80,0.103813
82,0.103636
84,0.102809
86,0.102808
88,0.102763
90,0.102497
92,0.100779
94,0.100668
96,0.100668
97,0.0993887
99,0.0993811
101,0.0993088
103,0.0987039
105,0.0987039
107,0.0985819
109,0.0984548
111,0.0979458
113,0.0979449
114,0.0978852
116,0.0972325
118,0.0972273
120,0.0970995
122,0.0970905
124,0.096972
126,0.0967494
127,0.0967494
129,0.0967389
131,0.0967
133,0.0966895
135,0.0965054
137,0.0965053
139,0.0965051
141,0.0958703
142,0.0958703
145,0.0957213
146,0.0946927
148,0.0943881
150,0.0943839
152,0.0938693
154,0.0938579
155,0.0938375
157,0.0937587
159,0.0933895
161,0.0913518
163,0.0913463
165,0.0912063
167,0.0911784
169,0.0911616
171,0.091159
172,0.0910196
174,0.0907931
176,0.0907656
178,0.0907089
180,0.0905753
182,0.0905729
184,0.0905729
186,0.090501
187,0.090501
189,0.0904931
191,0.0904385
194,0.0903222
195,0.0902098
197,0.090207
199,0.0902047
201,0.0901889
203,0.0899739
205,0.0899734
207,0.0899412
208,0.0899412
210,0.0899023
212,0.089897
214,0.0897362
216,0.089734
218,0.089734
220,0.0897334
222,0.0895378
224,0.089528
226,0.089528
228,0.0895206
229,0.0893984
231,0.0893973
233,0.0890607
235,0.0890602
237,0.089048
239,0.0890422
241,0.0890422
242,0.0890224
244,0.0890188
246,0.0889783
248,0.0889782
250,0.0889741
251,0.0889697
253,0.0889386
255,0.0889385
257,0.0889356
259,0.088929
261,0.0889282
263,0.088912
264,0.0889076
267,0.0888985
268,0.0888869
270,0.0888869
272,0.0888867
274,0.0888534
276,0.0887116
278,0.088708
280,0.0886971
281,0.0886881
283,0.0886845
285,0.0886768
287,0.0886768
289,0.0886767
291,0.0886753
292,0.0886657
294,0.0886656
296,0.0886652
298,0.0886626
300,0.0886551
302,0.0886457
304,0.0886455
306,0.0886442
307,0.088634
309,0.0886328
311,0.0886328
313,0.0885806
315,0.0885806
317,0.0885761
319,0.0885746
321,0.0885738
323,0.0885635
324,0.0885553
326,0.0883902
328,0.0883884
330,0.0883698
332,0.0883698
334,0.0882065
336,0.0882056
337,0.0882056
339,0.088202
341,0.088202
343,0.0881997
345,0.0881989
347,0.0881987
349,0.0881581
351,0.0881411
352,0.0881407
354,0.0881278
356,0.0881278
358,0.0881276
360,0.0881267
362,0.0881261
364,0.0881256
365,0.0881241
367,0.0881241
369,0.0881237
371,0.0881224
373,0.08812
375,0.0881193
377,0.0881175
379,0.0881173
380,0.0881064
382,0.0881059
384,0.0881059
386,0.088103
388,0.0881025
390,0.0881019
392,0.0881003
394,0.0881003
396,0.0880951
397,0.088095
399,0.0880941
401,0.0880938
403,0.0880921
405,0.088092
406,0.0880919
408,0.0880913
410,0.0880913
412,0.0880902
413,0.0880878
415,0.0880878
417,0.0880863
419,0.0880863
421,0.0880859
422,0.0880857
424,0.0880857
426,0.0880856
428,0.0880854
430,0.0880854
432,0.0880852
433,0.0880852
435,0.0880852
437,0.0880848
439,0.0880846
440,0.0880823
442,0.0880823
444,0.0880821
446,0.0880821
448,0.0880821
450,0.0880801
452,0.0880801
453,0.0880801
455,0.08808
457,0.08808
459,0.08808
461,0.0880799
462,0.0880799
464,0.0880798
466,0.0880797
468,0.0880796
470,0.0880794
472,0.0880794
474,0.0880793
476,0.0880792
477,0.0880792
479,0.088079
481,0.088079
483,0.0880789
485,0.0880769
487,0.0880769
489,0.0880767
490,0.0880767
492,0.0880766
494,0.0880766
496,0.0880766
498,0.0880765
500,0.0880765
501,0.0880765
503,0.0880763
505,0.0880763
507,0.0880763
509,0.0880763
511,0.0880763
512,0.0880762
514,0.0880762
516,0.0880762
518,0.0880762
520,0.0880762
522,0.0880762
524,0.0880761
525,0.0880761
527,0.0880761
529,0.0880761
531,0.0880761
533,0.088076
535,0.088076
536,0.088076
538,0.088076
540,0.088076
542,0.088076
544,0.0880759
546,0.0880759
548,0.0880758
550,0.0880758
552,0.0880757
553,0.0880757
555,0.0880757
557,0.0880757
559,0.0880757
561,0.0880757
562,0.0880757
564,0.0880757
566,0.0880757
568,0.0880757
570,0.0880757
572,0.0880757
574,0.0880757
575,0.0880757
577,0.0880757
579,0.0880757
581,0.0880757
583,0.0880756
585,0.0880755
586,0.0880755
588,0.0880755
590,0.0880755
592,0.0880755
594,0.0880755
596,0.0880755
597,0.0880755
599,0.0880755
601,0.0880755
603,0.0880755
605,0.0880755
607,0.0880755
609,0.0880755
611,0.0880755
613,0.0880755
614,0.0880755
616,0.0880755
618,0.0880755
620,0.0880755
622,0.0880754
623,0.0880754
625,0.0880754
627,0.0880754
629,0.0880754
631,0.0880754
633,0.0880754
635,0.0880754
636,0.0880754
638,0.0880754
640,0.0880754
642,0.0880754
644,0.0880754
646,0.0880754
648,0.0880754
650,0.0880754
652,0.0880754
654,0.0880754
656,0.0880754
657,0.0880754
659,0.0880754
661,0.0880754
663,0.0880754
665,0.0880754
667,0.0880754
668,0.0880754
670,0.0880754
672,0.0880754
674,0.0880754
676,0.0880754
678,0.0880754
680,0.0880754
681,0.0880754
683,0.0880754
685,0.0880754
687,0.0880753
689,0.0880753
691,0.0880753
693,0.0880753
694,0.0880753
696,0.0880753
698,0.0880753
700,0.0880753
702,0.0880753
704,0.0880753
706,0.0880753
708,0.0880753
709,0.0880753
711,0.0880753
713,0.0880753
715,0.0880753
717,0.0880753
719,0.0880753
721,0.0880753
723,0.0880753
725,0.0880753
726,0.0880753
728,0.0880753
730,0.0880753
732,0.0880753
734,0.0880753
736,0.0880753
738,0.0880753
739,0.0880753
741,0.0880753
743,0.0880753
745,0.0880753
747,0.0880753
749,0.0880753
750,0.0880753
752,0.0880753
754,0.0880753
756,0.0880753
758,0.0880753
760,0.0880753
762,0.0880753
763,0.0880753
765,0.0880753
767,0.0880753
769,0.0880753
771,0.0880753
773,0.0880753
775,0.0880753
777,0.0880753
779,0.0880753
780,0.0880753
782,0.0880753
784,0.0880753
786,0.0880753
788,0.0880753
790,0.0880753
792,0.0880753
794,0.0880753
796,0.0880753
