Time,score
1553,inf
1584,0.287594
1612,0.287527
1626,0.287526
1641,0.287525
1657,0.287523
1675,0.287491
1700,0.287489
1723,0.287489
1749,0.28749
1777,0.287489
1804,0.287491
1836,0.287452
1871,0.287351
1910,0.287341
1957,0.287347
2012,0.287345
2072,0.287353
2167,0.287332
2233,0.287332
2369,0.287333
2453,0.287335
2578,0.287295
2710,0.287292
2833,0.287292
3018,0.287242
3140,0.287247
3288,0.287247
3479,0.287214
3656,0.287183
3826,0.286864
4017,0.286522
4327,0.286343
4555,0.286333
4888,0.286524
5572,0.286541
6035,0.286341
6627,0.28715
7276,0.287118
8366,0.286899
9444,0.286968
11162,0.287191
12769,0.287344
14595,0.287427
16644,0.287766
18157,0.287606
20271,0.287389
20918,0.287299
20923,0.287299
20926,0.287294
20931,0.287299
20937,0.287299
20943,0.287299
20948,0.287299
20954,0.287299
20960,0.287296
20965,0.287299
20971,0.287299
20977,0.287299
20983,0.287299
20989,0.287299
20994,0.287299
21000,0.287299
21006,0.287299
21012,0.287299
21018,0.287299
21024,0.287299
21025,0.287291
21031,0.287299
21036,0.287299
21042,0.287299
21048,0.287299
21054,0.287299
21060,0.287299
21065,0.287299
21071,0.287257
21077,0.287299
21082,0.287299
21088,0.287299
21094,0.287299
21100,0.287299
21105,0.287299
21107,0.287289
21113,0.287299
21118,0.287299
21124,0.287299
21130,0.287299
21136,0.287299
21141,0.287299
21147,0.287299
21153,0.287299
21159,0.287299
21165,0.287299
21171,0.287299
21176,0.287299
21182,0.287299
21188,0.287299
21194,0.287299
21200,0.287299
21205,0.287299
21211,0.287299
21217,0.287299
21223,0.287299
21229,0.287299
21234,0.287299
21237,0.287294
21242,0.287299
21248,0.287299
21254,0.287299
21259,0.287299
21265,0.287299
21271,0.287299
21276,0.287298
21282,0.287299
21288,0.287299
21294,0.287299
21300,0.287299
21305,0.287299
21311,0.287299
21317,0.287299
21323,0.287299
21329,0.287299
21334,0.287299
21340,0.287299
21346,0.287299
21351,0.287299
21357,0.287299
21363,0.287299
21369,0.287299
21375,0.287299
21380,0.287299
21386,0.287299
21392,0.287299
21398,0.287299
21404,0.287299
21410,0.287299
21415,0.287299
21421,0.287299
21427,0.287299
21433,0.287299
21438,0.287299
21444,0.287299
21450,0.287299
21456,0.287299
21461,0.287299
21467,0.287299
21473,0.287299
21479,0.287299
21484,0.287299
21490,0.287299
21496,0.287299
21502,0.287299
21508,0.287299
21514,0.287299
21519,0.287299
21525,0.287299
21531,0.287299
21537,0.287299
21543,0.287299
21549,0.287299
21554,0.287299
21560,0.287299
21566,0.287299
21572,0.287299
21578,0.287299
21583,0.287299
21589,0.287299
21595,0.287299
21601,0.287299
21606,0.287299
21612,0.287299
21618,0.287299
21624,0.287299
21629,0.287299
21635,0.287299
21641,0.287299
21647,0.287299
21652,0.287299
21654,0.28729
21660,0.287299
21666,0.287299
21671,0.287299
21677,0.287299
21683,0.287299
21689,0.287299
21694,0.287299
21700,0.287299
21702,0.287294
21708,0.287299
21714,0.287299
21720,0.287299
21726,0.287299
21732,0.287299
21738,0.287299
21743,0.287299
21749,0.287299
21755,0.287299
21761,0.287299
21766,0.287299
21772,0.287299
21778,0.287299
21784,0.287299
21790,0.287299
21795,0.287298
21801,0.287298
21807,0.287299
21813,0.287299
21818,0.287299
21820,0.287291
21826,0.287299
21828,0.287294
21834,0.287294
21839,0.287294
21845,0.287294
21851,0.287299
21857,0.287299
21859,0.287294
21865,0.287294
21871,0.287294
21876,0.287299
21882,0.287299
21888,0.287299
21893,0.287299
21899,0.287299
21905,0.287299
21911,0.287299
21917,0.287299
21922,0.287299
21928,0.287299
21934,0.287299
21935,0.287291
21941,0.287299
21947,0.287299
21953,0.287299
21954,0.287291
21960,0.287291
21966,0.287299
21971,0.287299
21977,0.287299
21983,0.287299
21989,0.287299
21995,0.287299
22000,0.287299
22006,0.287299
22012,0.287299
22018,0.287299
22023,0.287299
22029,0.287299
22035,0.287299
22041,0.287299
22046,0.287299
22053,0.287299
22058,0.287299
22064,0.287299
22070,0.287299
22076,0.287299
22082,0.287299
22083,0.287291
22089,0.287299
22095,0.287299
22101,0.287299
22107,0.287299
22113,0.287299
22119,0.287299
22125,0.287299
22130,0.287299
22136,0.287299
22142,0.287299
22148,0.287299
22153,0.287299
22159,0.287299
22165,0.287299
22171,0.287299
22176,0.287299
22182,0.287298
22188,0.287299
22194,0.287299
22196,0.287294
22202,0.287299
22207,0.287299
22213,0.287299
22219,0.287299
22224,0.287299
22230,0.287299
22236,0.287299
22242,0.287299
22248,0.287299
22253,0.287299
22259,0.287299
22265,0.287299
22271,0.287299
22276,0.287249
22282,0.287299
22288,0.287299
22293,0.287299
22299,0.287299
22305,0.287298
22311,0.287299
22316,0.287299
22322,0.287299
22328,0.287299
22334,0.287299
22340,0.287299
22345,0.287299
22351,0.287299
22357,0.287299
22362,0.287283
22368,0.287283
22371,0.287283
22377,0.287283
22383,0.287283
22388,0.287299
22394,0.287299
22400,0.287299
22406,0.287299
22412,0.287299
22414,0.287292
22419,0.287292
22425,0.287299
22431,0.287299
22437,0.287299
22442,0.287299
22448,0.287299
22454,0.287299
22460,0.287299
22465,0.287299
22471,0.287299
22477,0.287299
22483,0.287299
22489,0.287299
22494,0.287299
22500,0.287299
22506,0.287299
22511,0.287299
22517,0.287299
22523,0.287299
22529,0.287299
22535,0.287299
22540,0.287299
22546,0.287299
22552,0.287299
22557,0.287299
22563,0.287299
22569,0.287299
22575,0.287299
22580,0.287299
22586,0.287299
22588,0.287294
22594,0.287294
22600,0.287299
22605,0.287299
22611,0.287299
22617,0.287299
22622,0.287293
22628,0.287293
22634,0.287293
22640,0.287293
22645,0.287293
22651,0.287299
22656,0.287299
22662,0.287299
22666,0.287293
22668,0.287294
22674,0.287299
22679,0.287299
22685,0.287299
22691,0.287299
22696,0.287299
22702,0.287299
22704,0.287294
22710,0.287294
22715,0.287299
22721,0.287299
22727,0.287299
22733,0.287299
22739,0.287299
22744,0.287299
22750,0.287299
22756,0.287297
22762,0.287297
22767,0.287299
22773,0.287299
22779,0.287299
22785,0.287299
22791,0.287299
22796,0.287299
22802,0.287299
22807,0.287299
22813,0.287299
22819,0.287299
22825,0.287299
22830,0.287299
22836,0.287299
22838,0.287294
22844,0.287294
22850,0.287294
22855,0.287294
22858,0.287296
22863,0.287296
22869,0.287299
22871,0.287291
22876,0.287299
22882,0.287299
22888,0.287299
22893,0.287299
22899,0.287299
22905,0.287299
22911,0.287298
22917,0.287298
22922,0.287298
22928,0.287299
22934,0.287299
22939,0.287298
22945,0.287299
22951,0.287299
22957,0.287299
22962,0.287299
22968,0.287299
22974,0.287299
22980,0.287299
22985,0.287299
22991,0.287299
22997,0.287264
22999,0.287296
23004,0.287296
23010,0.287299
23016,0.287299
23022,0.287299
23028,0.287299
23030,0.287293
23036,0.287293
23037,0.287291
23043,0.287299
23049,0.287299
23054,0.287299
23060,0.287299
23066,0.287299
23072,0.287299
23077,0.287299
23083,0.287299
23089,0.287299
23095,0.287299
23100,0.287299
23106,0.287299
23112,0.287299
23118,0.287299
23123,0.287299
23126,0.287294
23131,0.287299
23137,0.287298
23143,0.287298
23149,0.287299
23154,0.287299
23160,0.287299
23166,0.287299
23172,0.287299
23177,0.287286
23183,0.287286
23189,0.287299
23195,0.287299
23200,0.287299
23206,0.287299
23212,0.287299
23218,0.287299
23224,0.287299
23229,0.287299
23235,0.287299
23241,0.287299
23246,0.287299
23252,0.287299
23258,0.287299
23264,0.287299
23265,0.287291
23271,0.287291
23277,0.287291
23283,0.287299
23288,0.287299
23292,0.287296
23297,0.287296
23303,0.287296
23309,0.287296
23315,0.287299
23318,0.287295
23324,0.287295
23330,0.287295
23335,0.287295
23341,0.287295
23347,0.287295
23353,0.287295
23365,0.287299
23368,0.287296
23374,0.287296
23382,0.287299
23385,0.287299
23391,0.287299
23397,0.287299
23405,0.287299
23411,0.287299
23417,0.287299
23418,0.287291
23421,0.287294
23426,0.287294
23432,0.287294
23434,0.287291
23439,0.287299
23445,0.287299
23451,0.287299
23456,0.287299
23462,0.287299
23468,0.287299
23474,0.287299
23480,0.287299
23486,0.287299
23492,0.287299
23497,0.287299
23503,0.287299
23509,0.287299
23514,0.287299
23520,0.287299
23526,0.287299
23532,0.287299
23537,0.287299
23543,0.287299
23549,0.287299
23555,0.287299
23560,0.287299
23566,0.287299
23572,0.287299
23578,0.287299
23584,0.287299
23590,0.287299
23596,0.287299
23601,0.287299
23607,0.287299
23613,0.287299
23619,0.287299
23625,0.287299
23630,0.287299
23636,0.287299
23642,0.287299
23648,0.287299
23653,0.287299
23659,0.287299
23661,0.287294
23667,0.287299
23673,0.287299
23675,0.287294
23681,0.287299
23687,0.287299
23693,0.287299
23698,0.287299
23704,0.287299
23709,0.287299
23715,0.287299
23721,0.287299
23726,0.287299
23732,0.287299
23738,0.287299
23744,0.287299
23750,0.287299
23756,0.287299
23761,0.287299
23767,0.287299
23773,0.287299
23779,0.287299
23781,0.287294
23787,0.287299
23793,0.287299
23798,0.287299
23800,0.287294
23806,0.287299
23812,0.287299
23818,0.287299
23824,0.287299
23829,0.287295
23832,0.287294
23838,0.287294
23843,0.287294
23849,0.287299
23855,0.287299
23861,0.287299
23867,0.287299
23873,0.287299
23879,0.287299
23884,0.287299
23887,0.287296
23893,0.287296
23899,0.287296
23905,0.287296
23911,0.287296
23917,0.287296
23923,0.287299
23928,0.287299
23934,0.287299
23940,0.287299
23946,0.287299
23952,0.287299
23957,0.287299
23963,0.287297
23969,0.287299
23975,0.287299
23981,0.287299
23986,0.287299
23992,0.287299
23998,0.287299
24004,0.287299
24009,0.287299
24015,0.287299
24021,0.287299
24027,0.287299
24032,0.287299
24038,0.287299
24044,0.287299
24049,0.287299
24055,0.287299
24057,0.287291
24062,0.287291
24068,0.287291
24074,0.287299
24080,0.287299
24086,0.287299
24092,0.287299
24097,0.287299
24103,0.287299
24105,0.287294
24111,0.287299
24117,0.287299
24123,0.287299
24128,0.287299
24134,0.287299
24140,0.287299
24146,0.287299
24152,0.287299
24157,0.287299
24163,0.287299
24169,0.287299
24174,0.287299
24180,0.287299
24186,0.287298
24191,0.287298
24197,0.287299
24203,0.287299
24209,0.287299
24215,0.287299
24217,0.287294
24223,0.287294
24228,0.287294
24230,0.287294
24236,0.287294
24242,0.287294
24247,0.287217
24253,0.287299
24259,0.287299
24265,0.287299
24270,0.287299
24276,0.287299
24282,0.287299
24283,0.287291
24289,0.287291
24295,0.287299
24301,0.287299
24306,0.287299
24312,0.287299
24318,0.287299
24324,0.287299
24329,0.287299
24335,0.287299
24341,0.287299
24347,0.287299
24352,0.287299
24355,0.287294
24361,0.287299
24366,0.287299
24372,0.287299
24374,0.287294
24380,0.287294
24386,0.287299
24392,0.287299
