Time,score
3,34.6922
3,34.485
4,33.4145
5,32.6338
7,31.5223
7,31.3133
9,30.6455
10,30.5038
11,29.8777
12,29.6933
13,28.728
14,27.2677
16,27.0259
17,26.137
18,25.8796
19,24.5683
20,23.781
21,23.5076
22,23.0787
23,22.644
24,20.3956
26,20.3333
27,20.092
28,19.4318
29,19.1925
30,18.6839
32,18.6828
32,18.5774
34,18.187
35,18.1728
37,17.9777
38,17.8901
39,17.608
41,16.9575
42,16.7984
43,16.4161
44,15.9191
46,15.6607
47,15.3602
48,14.6064
49,13.8742
51,13.8616
52,13.4332
53,13.1035
54,12.7657
56,12.313
57,12.313
58,11.54
60,11.4447
62,11.2282
63,10.9298
65,10.7845
66,10.6625
68,10.4774
69,10.256
70,10.1748
72,9.74564
73,9.69773
74,9.52224
76,9.23628
77,9.01883
78,9.00603
80,8.83083
81,8.65297
83,8.4114
84,8.31519
86,8.12105
87,8.02497
89,8.02497
90,7.88993
92,7.70659
93,7.64539
95,7.38448
97,7.30952
98,7.12741
100,6.81604
102,6.80339
104,6.72072
105,6.49391
108,6.49391
109,6.29385
111,6.20854
113,6.19719
114,6.14123
116,5.90201
118,5.85976
120,5.68637
122,5.6165
123,5.61234
125,5.42884
126,5.3764
128,5.24715
130,5.24715
132,5.18049
134,5.06541
136,4.90865
138,4.80064
139,4.80062
141,4.69771
143,4.69771
145,4.64878
147,4.623
149,4.57814
151,4.57814
153,4.41187
155,4.38129
157,4.12964
159,4.12964
161,4.09622
164,4.09622
166,4.09622
168,4.04898
170,4.04898
172,4.0271
174,4.02546
176,3.99507
179,3.90338
181,3.90338
183,3.85714
185,3.77513
188,3.77513
191,3.75444
194,3.71766
197,3.71766
198,3.71766
201,3.66595
203,3.62217
205,3.62217
208,3.62217
210,3.58839
213,3.58839
214,3.55968
216,3.55968
219,3.55968
221,3.53656
223,3.52171
227,3.52171
230,3.51348
232,3.51335
234,3.48263
237,3.48263
240,3.47816
243,3.45387
245,3.4395
247,3.42197
249,3.42197
252,3.37927
254,3.37927
256,3.37927
259,3.37927
261,3.37927
263,3.37927
266,3.37927
268,3.37927
270,3.34329
273,3.30812
275,3.30812
277,3.29806
279,3.2801
281,3.2801
283,3.2801
286,3.2801
288,3.26479
291,3.26479
293,3.25863
295,3.25252
299,3.25252
301,3.2161
303,3.2161
306,3.2161
308,3.2161
311,3.2161
314,3.2033
317,3.19181
319,3.15515
322,3.15515
324,3.15515
326,3.15515
329,3.15515
331,3.15515
333,3.15515
335,3.13773
338,3.10345
341,3.08977
345,3.08977
347,3.08977
349,3.08977
353,3.08977
355,3.08977
359,3.08977
361,3.06435
364,3.06435
366,2.96796
368,2.96796
371,2.96796
374,2.94345
376,2.94345
380,2.94345
383,2.94345
385,2.94345
388,2.91652
392,2.91652
395,2.91652
398,2.9099
401,2.9099
404,2.90572
407,2.90572
410,2.90572
413,2.90321
415,2.89813
417,2.89341
420,2.89341
423,2.89341
427,2.89341
429,2.89341
431,2.89341
433,2.89341
435,2.89341
439,2.87074
442,2.87074
445,2.87074
448,2.87074
450,2.87074
453,2.87074
454,2.86479
457,2.86479
459,2.85858
462,2.85858
464,2.8367
467,2.83406
469,2.83406
471,2.83406
473,2.8045
475,2.8045
479,2.80137
481,2.80137
484,2.80137
487,2.80137
489,2.80137
493,2.80137
496,2.80137
499,2.77737
502,2.77737
505,2.77737
508,2.76119
511,2.76119
513,2.72637
515,2.72637
518,2.72637
521,2.72637
524,2.72637
527,2.71258
529,2.71258
531,2.71258
534,2.71258
538,2.71258
540,2.71195
543,2.68362
546,2.68362
549,2.68362
551,2.68362
554,2.68362
557,2.68362
561,2.68362
563,2.68362
566,2.68362
569,2.68362
572,2.68362
574,2.68362
577,2.68362
579,2.68362
582,2.68362
585,2.68349
587,2.67771
590,2.67771
593,2.67337
595,2.67337
598,2.67337
601,2.67151
