Time,score
634,54.5583
1317,46.5261
2015,40.9457
2750,38.7827
3591,30.7352
4576,28.123
5556,26.7533
6857,23.4237
8367,20.7732
9996,17.1857
11863,15.2618
13857,14.4934
16045,13.1081
18405,10.9671
21025,9.76336
24024,8.88629
27488,7.42914
31254,6.64572
35335,6.14662
40491,5.88792
45471,5.16774
51746,4.85619
58000,4.48831
65182,4.04659
73173,3.85029
82136,3.5562
92126,3.29224
103268,3.18399
115471,3.01494
129099,2.84606
144175,2.74252
163309,2.59705
183903,2.53974
205393,2.42305
230416,2.30025
257749,2.25616
287168,2.21496
332424,2.1442
372195,2.11824
413562,2.07286
459070,2.01747
509404,1.97038
568509,1.9472
632568,1.92304
705811,1.89966
