Time,score
16,9.50467
34,7.10981
61,5.4629
88,5.10462
126,4.57306
157,4.23278
183,4.23278
208,4.23278
237,4.1725
270,3.85026
306,3.55227
346,3.55227
392,3.24403
444,2.99985
500,2.89959
563,2.81058
640,2.79411
730,2.77873
827,2.69529
936,2.66774
1061,2.63696
1190,2.62513
1337,2.61347
1510,2.60897
1700,2.55132
1910,2.54949
2124,2.52657
2362,2.49845
2625,2.46479
2916,2.46479
3239,2.43877
3609,2.43877
4011,2.43877
4460,2.42836
4971,2.42522
5528,2.42391
6135,2.41445
6854,2.41231
7632,2.39996
8523,2.39619
9453,2.39619
10491,2.39619
11658,2.39313
12913,2.38674
14340,2.38426
15919,2.38425
17671,2.38242
19621,2.38089
21847,2.37957
