Problem,Solver,K,N,c,delta,g_1,g_2,Lrw,npkt,ntx
EDFC,GA,1000,2000,0.01,0.05,1.72328,,3589,25000,8.97e+07
EDFC,SA,1000,2000,0.01,0.05,1.89216,,3940.11,28000,1.10e+08
EDFC,JB,1000,2000,0.01,0.05,1.89966,,3956.04,28000,1.11e+08
ADFC,GA,1000,2000,0.01,0.05,,0.390452,1986.83,5000,9.93e+06
ADFC,SA,1000,2000,0.01,0.05,,64.0368,,,
ADFC,JB,1000,2000,0.01,0.05,,67.6922,,,
EDFC,GA,10,100,0.1,0.5,2.63602,,263.916,770,2.03e+05
EDFC,SA,10,100,0.1,0.5,2.64062,,267.839,770,2.06e+05
EDFC,JB,10,100,0.1,0.5,2.63926,,267.401,770,2.06e+05
ADFC,GA,10,100,0.1,0.5,,0.906249,93.3731,260,2.43e+04
ADFC,SA,10,100,0.1,0.5,,0.682834,95.99,200,1.92e+04
ADFC,JB,10,100,0.1,0.5,,1.31408,100.247,380,3.81e+04
EDFC,GA,20,100,0.1,0.5,2.35404,,227.518,840,1.91e+05
EDFC,SA,20,100,0.1,0.5,2.36511,,228.225,840,1.92e+05
EDFC,JB,20,100,0.1,0.5,2.36682,,228.225,840,1.92e+05
ADFC,GA,20,100,0.1,0.5,,0.750817,97.1769,260,2.53e+04
ADFC,SA,20,100,0.1,0.5,,4.47709,99.0288,1600,1.58e+05
ADFC,JB,20,100,0.1,0.5,,2.69659,93.05,960,8.93e+04
EDFC,GA,20,200,0.1,0.5,2.36865,,509.038,1700,8.65e+05
EDFC,SA,20,200,0.1,0.5,2.37957,,509.682,1700,8.66e+05
EDFC,JB,20,200,0.1,0.5,2.3792,,509.514,1700,8.66e+05
ADFC,GA,20,200,0.1,0.5,,0.75314,189.748,540,1.02e+05
ADFC,SA,20,200,0.1,0.5,,4.47709,202.238,3220,6.51e+05
ADFC,JB,20,200,0.1,0.5,,2.69659,212.192,1940,4.12e+05
EDFC,GA,40,200,0.1,0.5,2.25899,,516.791,1920,9.92e+05
EDFC,SA,40,200,0.1,0.5,2.17902,,492.427,1840,9.06e+05
EDFC,JB,40,200,0.1,0.5,2.17781,,492.427,1840,9.06e+05
ADFC,GA,40,200,0.1,0.5,,0.634248,189.162,520,9.84e+04
ADFC,SA,40,200,0.1,0.5,,8.81251,197.003,7520,1.48e+06
ADFC,JB,40,200,0.1,0.5,,4.42144,211.529,3760,7.95e+05
EDFC,GA,50,500,0.01,0.05,2.13626,,2372.87,6600,1.57e+07
EDFC,SA,50,500,0.01,0.05,2.10669,,2334.43,6500,1.52e+07
EDFC,JB,50,500,0.01,0.05,2.11034,,2336.95,6500,1.52e+07
ADFC,GA,50,500,0.01,0.05,,0.483978,507.091,1500,7.61e+05
ADFC,SA,50,500,0.01,0.05,,0.79639,519.944,2450,1.27e+06
ADFC,JB,50,500,0.01,0.05,,3.70096,519.206,11450,5.94e+06
EDFC,GA,100,1000,0.01,0.05,1.96512,,3757.41,14200,5.34e+07
EDFC,SA,100,1000,0.01,0.05,1.97178,,3768.47,14300,5.39e+07
EDFC,JB,100,1000,0.01,0.05,1.96771,,3761.16,14200,5.34e+07
ADFC,GA,100,1000,0.01,0.05,,0.410634,1032.85,2900,3.00e+06
ADFC,SA,100,1000,0.01,0.05,,4.25821,1049.11,30900,3.24e+07
ADFC,JB,100,1000,0.01,0.05,,6.96241,1031.95,50500,5.21e+07
