Problem,K,N,c,delta,Mode,g1,g2,"number of packets"
EDFC,10,100,0.1,0.5,GA,2.63602,,770
EDFC,10,100,0.1,0.5,JB,2.63926,,770
EDFC,10,100,0.1,0.5,SA,2.64062,,770
EDFC,20,100,0.1,0.5,GA,2.35404,,840
EDFC,20,200,0.1,0.5,GA,2.36865,,1700
EDFC,20,100,0.1,0.5,JB,2.36682,,840
EDFC,20,200,0.1,0.5,JB,2.3792,,1700
EDFC,20,100,0.1,0.5,SA,2.36511,,840
EDFC,20,200,0.1,0.5,SA,2.37957,,1700
EDFC,40,200,0.1,0.5,GA,2.25899,,1920
EDFC,40,200,0.1,0.5,JB,2.17781,,1840
EDFC,40,200,0.1,0.5,SA,2.17902,,1840
EDFC,50,500,0.01,0.05,GA,2.13626,,6600
EDFC,50,500,0.01,0.05,JB,2.11034,,6500
EDFC,50,500,0.01,0.05,SA,2.10669,,6500
EDFC,100,1000,0.01,0.05,GA,1.96512,,14200
EDFC,100,1000,0.01,0.05,JB,1.96771,,14200
EDFC,100,1000,0.01,0.05,SA,1.97178,,14300
EDFC,1000,2000,0.01,0.05,GA,1.67265,,25000
EDFC,1000,2000,0.01,0.05,JB,1.89966,,28000
EDFC,1000,2000,0.01,0.05,SA,1.89216,,28000
ADFC,10,100,0.1,0.5,GA,,0.906249,260
ADFC,20,100,0.1,0.5,GA,,0.750817,260
ADFC,20,200,0.1,0.5,GA,,0.75314,540
ADFC,40,200,0.1,0.5,GA,,0.634248,520
ADFC,50,500,0.01,0.05,GA,,0.483978,1500
ADFC,1000,2000,0.01,0.05,GA,,0.390452,5000
